"Carimbo de data/hora","1. Que a cozinha tenha máquinas capazes de cortar ou cozinhar alimentos automaticamente. ","2. Que a cozinha tenha mecanismos de auto limpeza.","3. Que os móveis/eletrodomêsticos da cozinha se ajustem para facilitar minhas tarefas.","4. Estimular o consumo dos alimentos dentro de suas datas de validade.","5. Existir um controle de estoque que atualize a lista de compras conforme o consumo.","6. Automatizar as compras da casa de acordo com a lista de compras.","7. Que cardápios sejam sugeridos com base em preferências, restrições alimentares (saúde), e com base nos estoques.","8. Que existam mecanismos que ajudem no gerenciamento de lixo e facilitem a reciclagem.","9. Que existam mecanismos que ajudem a economizar energia e água (mecanismos de sustentabilidade).","10. Que a cozinha seja capaz de ensinar técnicas de culinária, inclusive lembrando de técnicas utilizadas na própria cozinha.","Então: se acredita que faltou algo, coloque abaixo o que você gostaria de ver nessa lista."
"2018/06/17 9:46:36 AM GMT-3","Boa ideia","Ótima ideia","Boa ideia","Ótima ideia","Ótima ideia","Ótima ideia","Boa ideia","Boa ideia","Ótima ideia","OK",""
"2018/06/17 9:51:19 AM GMT-3","Boa ideia","Ótima ideia","Boa ideia","Ótima ideia","Ótima ideia","Boa ideia","OK","Ótima ideia","Ótima ideia","Boa ideia",""
"2018/06/17 10:04:08 AM GMT-3","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima Ideia","A despensa poderia ser automatizada com mecanismos que organizassem os alimentos de acordo com os critérios acima, data de validade e cardápio, tipo um edifício garagem, todos os carros entram pelo mesmo local e são destinados às vagas"
"2018/06/17 10:09:13 AM GMT-3","Boa ideia","Ótima ideia","Boa ideia","OK","Creio que pouco ajuda","Boa ideia","Boa ideia","Boa ideia","Ótima ideia","OK",""
"2018/06/17 10:12:17 AM GMT-3","Desnecessário","Ótima ideia","Ótima ideia","Boa ideia","Desnecessário","Desnecessário","Ótima ideia","Ótima ideia","Ótima ideia","Ótima Ideia",""
"2018/06/17 10:17:34 AM GMT-3","Boa ideia","Ótima ideia","Boa ideia","Ótima ideia","Ótima ideia","Ótima ideia","Boa ideia","Ótima ideia","Ótima ideia","Boa ideia",""
"2018/06/17 10:18:39 AM GMT-3","Ótima ideia","Ótima ideia","Ótima ideia","OK","Desnecessário","Desnecessário","Desnecessário","Ótima ideia","Ótima ideia","OK",""
"2018/06/17 10:28:19 AM GMT-3","Ótima ideia","Ótima ideia","Boa ideia","Ótima ideia","Ótima ideia","Boa ideia","Ótima ideia","Boa ideia","Ótima ideia","Boa ideia",""
"2018/06/17 10:41:55 AM GMT-3","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima Ideia",""
"2018/06/17 10:44:08 AM GMT-3","Ótima ideia","Ótima ideia","Boa ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Boa ideia",""
"2018/06/17 10:52:50 AM GMT-3","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima Ideia","Está perfeita! Cozinha dos sonhos !"
"2018/06/17 11:00:32 AM GMT-3","Ótima ideia","Ótima ideia","OK","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Boa ideia",""
"2018/06/17 11:10:10 AM GMT-3","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima ideia","Ótima Ideia",""
